TAP Portugal,Berlin (BER),Rio de... (GIG),777,1000,2,17:45,05:25,Thursday,3/08/2023
TAP Portugal,Berlin (BER),Rio de... (GIG),907,1000,2,17:45,05:25,Thursday,3/08/2023
Multiple airlines,Berlin (BER),Rio de... (GIG),952,1000,2,17:45,05:25,Thursday,3/08/2023
Air France,Berlin (BER),Rio de... (GIG),1079,1100,1,06:15,19:35,Thursday,3/08/2023
KLM,Berlin (BER),Rio de... (GIG),1082,940,1,09:05,19:45,Thursday,3/08/2023
KLM,Berlin (BER),Rio de... (GIG),1082,1125,1,06:00,19:45,Thursday,3/08/2023
KLM,Berlin (BER),Rio de... (GIG),1082,1685,1,20:40,19:45,Thursday,3/08/2023
Lufthansa,Berlin (BER),Rio de... (GIG),1175,1020,2,19:45,07:45,Thursday,3/08/2023
Lufthansa,Berlin (BER),Rio de... (GIG),1175,1140,2,17:45,07:45,Thursday,3/08/2023
Lufthansa,Berlin (BER),Rio de... (GIG),1175,1200,2,16:45,07:45,Thursday,3/08/2023
Lufthansa,Berlin (BER),Rio de... (GIG),1175,1320,2,14:45,07:45,Thursday,3/08/2023
Lufthansa,Berlin (BER),Rio de... (GIG),1175,1380,2,13:45,07:45,Thursday,3/08/2023
LATAM Airlines Group,Berlin (BER),Rio de... (GIG),1300,1080,2,18:45,07:45,Thursday,3/08/2023
Multiple airlines,Berlin (BER),Rio de... (GIG),1300,1080,2,18:45,07:45,Thursday,3/08/2023
LATAM Airlines Group,Berlin (BER),Rio de... (SDU),1300,1145,2,18:45,08:50,Thursday,3/08/2023
LATAM Airlines Group,Berlin (BER),Rio de... (GIG),1300,1185,2,18:45,09:30,Thursday,3/08/2023
LATAM Airlines Group,Berlin (BER),Rio de... (SDU),1300,1220,2,18:45,10:05,Thursday,3/08/2023
LATAM Airlines Group,Berlin (BER),Rio de... (SDU),1300,1415,2,18:45,13:20,Thursday,3/08/2023
LATAM Airlines Group,Berlin (BER),Rio de... (GIG),1300,1465,2,18:45,14:10,Thursday,3/08/2023
British Airways,Berlin (BER),Rio de... (GIG),1321,1085,1,07:05,20:10,Thursday,3/08/2023
Lufthansa,Berlin (BER),Rio de... (GIG),1345,855,1,09:50,19:05,Thursday,3/08/2023
Lufthansa,Berlin (BER),Rio de... (GIG),1345,915,1,08:50,19:05,Thursday,3/08/2023
Lufthansa,Berlin (BER),Rio de... (GIG),1345,1005,1,07:20,19:05,Thursday,3/08/2023
Lufthansa,Berlin (BER),Rio de... (GIG),1345,1065,1,06:20,19:05,Thursday,3/08/2023
TAP Portugal,Berlin (BER),Rio de... (GIG),634,1030,1,17:15,05:25,Friday,4/08/2023
TAP Portugal,Berlin (BER),Rio de... (GIG),634,1275,1,13:10,05:25,Friday,4/08/2023
TAP Portugal,Berlin (BER),Rio de... (GIG),707,1000,2,17:45,05:25,Friday,4/08/2023
TAP Portugal,Berlin (BER),Rio de... (GIG),850,995,2,17:50,05:25,Friday,4/08/2023
TAP Portugal,Berlin (BER),Rio de... (GIG),857,1675,2,18:45,17:40,Friday,4/08/2023
