Finnair,Berlin (BER),Sydney (SYD),1185,1685,2,18:10,06:15,Thursday,3/08/2023
Turkish Airlines,Berlin (BER),Sydney (SYD),1218,1825,2,19:35,10:00,Thursday,3/08/2023
British Airways,Berlin (BER),Sydney (SYD),1291,1865,2,15:10,06:15,Thursday,3/08/2023
British Airways,Berlin (BER),Sydney (SYD),1291,1865,2,15:10,06:15,Thursday,3/08/2023
Thai Airways International,Berlin (BER),Sydney (SYD),1341,1540,2,10:50,20:30,Thursday,3/08/2023
Multiple airlines,Berlin (BER),Sydney (SYD),1351,1865,2,15:10,06:15,Thursday,3/08/2023
Multiple airlines,Berlin (BER),Sydney (SYD),1408,1800,2,15:10,05:10,Thursday,3/08/2023
Turkish Airlines,Berlin (BER),Sydney (SYD),1420,1580,2,19:35,05:55,Thursday,3/08/2023
Turkish Airlines,Berlin (BER),Sydney (SYD),1420,1850,2,19:35,10:25,Thursday,3/08/2023
Turkish Airlines,Berlin (BER),Sydney (SYD),1420,1860,2,14:55,05:55,Thursday,3/08/2023
Multiple airlines,Berlin (BER),Sydney (SYD),1429,1735,2,09:10,22:05,Thursday,3/08/2023
Finnair,Berlin (BER),Sydney (SYD),1441,1620,2,19:15,06:15,Thursday,3/08/2023
Finnair,Berlin (BER),Sydney (SYD),1441,1685,2,18:10,06:15,Thursday,3/08/2023
Finnair,Berlin (BER),Sydney (SYD),1441,1660,2,19:15,06:55,Thursday,3/08/2023
Multiple airlines,Berlin (BER),Sydney (SYD),1481,1555,2,19:15,05:10,Thursday,3/08/2023
Multiple airlines,Berlin (BER),Sydney (SYD),1485,1710,2,07:05,19:35,Thursday,3/08/2023
Qatar Airways,Berlin (BER),Sydney (SYD),1511,2430,1,16:40,17:10,Thursday,3/08/2023
Multiple airlines,Berlin (BER),Sydney (SYD),1519,1405,2,09:45,17:10,Thursday,3/08/2023
KLM,Berlin (BER),Sydney (SYD),1546,1915,2,14:30,06:25,Thursday,3/08/2023
Multiple airlines,Berlin (BER),Sydney (SYD),1557,1790,2,08:15,22:05,Thursday,3/08/2023
Multiple airlines,Berlin (BER),Sydney (SYD),1557,1790,2,08:15,22:05,Thursday,3/08/2023
British Airways,Berlin (BER),Sydney (SYD),1585,1800,2,15:10,05:10,Thursday,3/08/2023
British Airways,Berlin (BER),Sydney (SYD),1585,1965,2,12:25,05:10,Thursday,3/08/2023
Scoot,Berlin (BER),Sydney (SYD),645,1570,1,09:35,19:45,Friday,4/08/2023
