Airline,Departure,Arrival,price,Duration,Stops,Departure_Time,Arrival_Time,Day_Week,Day_Month,Destination
Air France,Berlin (BER),Cairo (CAI),363,715,1,12:10,00:05,Thursday,3/08/2023,Cairo
Air France,Berlin (BER),Cairo (CAI),363,1070,1,06:15,00:05,Thursday,3/08/2023,Cairo
KLM,Berlin (BER),Cairo (CAI),393,1085,2,06:00,00:05,Thursday,3/08/2023,Cairo
KLM,Berlin (BER),Cairo (CAI),393,1085,2,06:00,00:05,Thursday,3/08/2023,Cairo
KLM,Berlin (BER),Cairo (CAI),393,1085,2,06:00,00:05,Thursday,3/08/2023,Cairo
Aegean,Berlin (BER),Cairo (CAI),425,555,1,11:15,20:30,Thursday,3/08/2023,Cairo
KLM,Berlin (BER),Cairo (CAI),442,710,2,12:15,00:05,Thursday,3/08/2023,Cairo
KLM,Berlin (BER),Cairo (CAI),442,900,2,09:05,00:05,Thursday,3/08/2023,Cairo
KLM,Berlin (BER),Cairo (CAI),442,900,2,09:05,00:05,Thursday,3/08/2023,Cairo
KLM,Berlin (BER),Cairo (CAI),442,900,2,09:05,00:05,Thursday,3/08/2023,Cairo
LOT-Polish Airlines,Berlin (BER),Cairo (CAI),446,470,1,11:20,19:10,Thursday,3/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,375,1,19:35,01:50,Thursday,3/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,555,1,10:40,19:55,Thursday,3/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,655,1,14:55,01:50,Thursday,3/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,750,1,19:35,08:05,Thursday,3/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,775,1,07:00,19:55,Thursday,3/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,910,1,10:40,01:50,Thursday,3/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,1030,1,14:55,08:05,Thursday,3/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,1130,1,07:00,01:50,Thursday,3/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,1285,1,10:40,08:05,Thursday,3/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,1460,1,19:35,19:55,Thursday,3/08/2023,Cairo
Aegean,Berlin (BER),Cairo (CAI),316,815,1,11:15,00:50,Friday,4/08/2023,Cairo
Egyptair,Berlin (BER),Cairo (CAI),336,245,0,15:45,19:50,Friday,4/08/2023,Cairo
